document_id,passage_count,original_mean,shuffled_mean,original_actor_overlap_proportion,shuffled_actor_overlap_proportion
001-68373,62,0.6009525656700134,0.4631941863503612,0.8846153846153846,0.487012987012987
001-68920,64,0.5617475963774181,0.4170029498754985,0.8387096774193549,0.664981684981685
001-69239,36,0.534334819657462,0.41060328792248457,0.8461538461538461,0.5457142857142857
001-69315,155,0.5324230705714458,0.33874985048930656,0.9411764705882353,0.7049013744253683
001-69469,69,0.6239594558582586,0.5045031477861545,0.9090909090909091,0.8150000000000001
001-70132,69,0.5644151755225133,0.430038192961365,0.8571428571428571,0.4174603174603175
001-70373,116,0.5311853268872136,0.36804232838118206,0.8571428571428571,0.6799999999999999
001-71210,19,0.5353162007199394,0.4218633944789568,0.8333333333333334,0.9
001-71303,49,0.5705512274677554,0.4115713586390484,0.9565217391304348,0.5364646464646465
001-71483,27,0.5758987126442102,0.425204046872946,0.75,0.5333333333333333
001-72205,45,0.5501416118984873,0.4359795930287377,0.8333333333333334,0.3761904761904762
001-72207,56,0.5730365812778473,0.49939156456427136,0.9166666666666666,0.3092424242424242
001-75337,77,0.617042787373066,0.4771170004025886,0.9354838709677419,0.4717748917748918
001-75423,71,0.6134979788746152,0.46988614019804775,0.875,0.6483766233766234
001-75858,75,0.5766694481308395,0.42528323827160375,0.8148148148148148,0.34615384615384615
001-76453,48,0.5097560002765757,0.35365363536105354,0.7619047619047619,0.4051082251082251
001-77042,31,0.6126681615908941,0.42192669838666913,1.0,1.0
001-77936,41,0.5339623913168907,0.4103618187084794,0.8125,0.7301587301587302
001-78053,23,0.5355599400672045,0.44037046906622973,0.875,0.5833333333333333
001-79996,46,0.5286699785126581,0.34366959210071296,0.85,0.41611111111111115
001-80083,52,0.5967705577027564,0.4450916197662259,0.875,0.8652608794714057
001-80619,50,0.5235585103533706,0.3997925079446666,0.9444444444444444,0.5857142857142856
001-81142,51,0.5634865835309029,0.43205474770069124,0.8333333333333334,0.5421212121212122
001-81323,112,0.5616139479585596,0.4017880794255541,0.8653846153846154,0.637095238095238
001-82560,64,0.5823997401055836,0.4335415337264301,0.875,0.7558974358974359
001-82711,59,0.5818984850213446,0.44478888265017796,0.8260869565217391,0.6653535353535353
001-83294,71,0.5301183589867183,0.399596814257758,0.8333333333333334,0.6368831168831168
001-83747,39,0.5550438251934553,0.4217019235274117,0.7272727272727273,0.5677922077922078
001-83788,108,0.5271501156771294,0.3953567195788165,0.9245283018867925,0.4182183908045977
001-84106,86,0.5906904360827278,0.46947979693903646,0.9117647058823529,0.5536842105263158
001-84586,56,0.5978624793616208,0.46052592331712894,0.875,0.7111004784688995
001-85019,280,0.5984409223961574,0.45611282818175447,0.9368421052631579,0.5096825396825397
001-85152,115,0.601989717598547,0.44774672468764737,0.8723404255319149,0.25696594427244585
001-86008,28,0.586253007804906,0.43908182504000487,0.8333333333333334,0.5866666666666667
001-86233,64,0.5958252773871497,0.47558834701776503,0.9565217391304348,0.7708513708513709
001-86253,48,0.5580456345639331,0.47162594300635313,0.8275862068965517,0.6931286549707603
001-86364,40,0.5705711096525192,0.4245889692973249,0.7894736842105263,0.6521212121212121
001-86687,29,0.5494593669261251,0.4440592037779944,0.8888888888888888,0.805944055944056
001-87156,101,0.5377733428776265,0.39987420670688156,0.9423076923076923,0.5763286713286713
001-87207,95,0.6053008842975536,0.45835386637519016,0.9148936170212766,0.35233100233100234
001-87567,24,0.5160779136678447,0.4559292293113211,0.8666666666666667,0.6850505050505051
001-87934,259,0.5477068479382252,0.38786171471497927,0.9787234042553191,0.4000927800269906
001-88719,59,0.5912150156138272,0.4276451326168046,0.8695652173913043,0.5632539682539683
001-89283,53,0.5760688455058978,0.44253930036838235,0.8666666666666667,0.7916666666666666
001-89287,46,0.554065798388587,0.4635077932145861,0.8214285714285714,0.7863575322166654
